date,Python,R
2020-02-10,59,36
2020-02-11,62,37
2020-02-12,62,37
2020-02-13,53,34
2020-02-14,62,40
2020-02-15,38,41
2020-02-16,21,27
2020-02-17,59,45
2020-02-18,66,47
2020-02-19,76,54
2020-02-20,61,41
2020-02-21,58,37
2020-02-22,29,38
2020-02-23,38,40
2020-02-24,47,50
2020-02-25,64,39
2020-02-26,66,39
2020-02-27,64,41
2020-02-28,36,38
2020-02-29,38,38
2020-03-01,31,31
2020-03-02,64,36
2020-03-03,92,42
2020-03-04,88,42
2020-03-05,68,43
2020-03-06,84,37
2020-03-07,36,35
2020-03-08,40,38
2020-03-09,65,42
2020-03-10,74,48
2020-03-11,100,44
2020-03-12,74,37
2020-03-13,70,37
2020-03-14,50,50
2020-03-15,37,35
2020-03-16,86,36
2020-03-17,95,34
2020-03-18,90,37
2020-03-19,70,45
2020-03-20,69,41
2020-03-21,44,40
2020-03-22,49,48
2020-03-23,72,53
2020-03-24,76,43
2020-03-25,64,54
2020-03-26,79,51
2020-03-27,75,49
2020-03-28,42,42
2020-03-29,45,38
2020-03-30,84,33
2020-03-31,77,47
2020-04-01,72,40
2020-04-02,35,37
2020-04-03,34,40
2020-04-04,32,35
2020-04-05,37,38
2020-04-06,79,35
2020-04-07,82,42
2020-04-08,87,41
2020-04-09,75,50
2020-04-10,68,44
2020-04-11,45,40
2020-04-12,45,38
2020-04-13,81,38
2020-04-14,76,53
2020-04-15,83,45
2020-04-16,87,46
2020-04-17,88,43
2020-04-18,36,37
2020-04-19,42,46
2020-04-20,77,53
2020-04-21,73,47
2020-04-22,89,38
2020-04-23,76,43
2020-04-24,70,41
2020-04-25,45,37
2020-04-26,52,31
2020-04-27,77,45
2020-04-28,83,48
2020-04-29,87,43
2020-04-30,88,53
2020-05-01,45,37
2020-05-02,40,34
2020-05-03,41,44
2020-05-04,78,51
2020-05-05,72,50
2020-05-06,88,48
2020-05-07,91,35
2020-05-08,66,41
